split_type,model,model_name,split_description,training_time,train_mse,train_r2,train_mae,test_mse,test_r2,test_mae,test_correlation,n_train,n_test,param_temperature,param_alpha,param_lambda,param_gamma,param_alpha_gain,param_alpha_loss,param_gamma_gain,param_gamma_loss
train_test,ev,ev,"单一 train_test_split（与 experiments3/02 一致），test_size=0.2, random_state=1059",1.263085,0.026698642211791968,0.4660724039352927,0.132419089861206,0.026374038978604374,0.4492998817499142,0.13181560439618858,0.6716868284229323,7864,1967,7.3673516373856005,,,,,,,
train_test,eu,eu,"单一 train_test_split（与 experiments3/02 一致），test_size=0.2, random_state=1059",4.338323,0.02279024087384309,0.544233806836353,0.12201532093223696,0.022881619341851376,0.5222229523686781,0.12223512474724936,0.7305560088614734,7864,1967,4.297448772564071,0.8485120996242697,,,,,,
train_test,pt3,pt3,"单一 train_test_split（与 experiments3/02 一致），test_size=0.2, random_state=1059",13.453902,0.021297735145070697,0.5740813919515348,0.11696338094663356,0.02136485411584174,0.5538935959890481,0.11778074259171503,0.7462147262052224,7864,1967,3.685132281352014,0.798849028639968,1.0,0.9151933073922361,,,,
train_test,pt5,pt5,"单一 train_test_split（与 experiments3/02 一致），test_size=0.2, random_state=1059",20.853936,0.02075985379113982,0.5848381074426883,0.11570631074402465,0.020749410520387947,0.5667442959166402,0.1156841046994428,0.7548431499235573,7864,1967,3.591379187361897,,1.1573431459627366,,0.7978150411576723,0.7390481202641792,0.9361982390335469,0.779891819597113
