split_type,model_name,fraction,seed,test_mse,test_cross_entropy
problem,eu,0.22,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.22,42,0.050926313041885315,0.694580866313526
problem,pt5,0.22,42,0.050695759334250926,0.6941200911043053
problem,ev,0.24,42,0.06501115886038804,0.7253576467266556
problem,eu,0.24,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.24,42,0.050933739590809074,0.6945957253915371
problem,pt5,0.24,42,0.0507088808599211,0.6941463485605585
problem,ev,0.26,42,0.06501115886038804,0.7253576467266556
problem,eu,0.26,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.26,42,0.05089004737666735,0.6945083106736807
problem,pt5,0.26,42,0.05066256041337425,0.6940536451927249
problem,ev,0.28,42,0.06501115886038804,0.7253576467266556
problem,eu,0.28,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.28,42,0.05092553095768147,0.6945793015366536
problem,pt5,0.28,42,0.050678296924445046,0.6940851431923546
problem,ev,0.3,42,0.06501115886038804,0.7253576467266556
problem,eu,0.3,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.3,42,0.05091514252674579,0.694558516962506
problem,pt5,0.3,42,0.050643456145550374,0.6940154005149065
problem,ev,0.32,42,0.06501115886038804,0.7253576467266556
problem,eu,0.32,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.32,42,0.05085526135686255,0.6944387220625039
problem,pt5,0.32,42,0.050572460971652945,0.6938732064117588
problem,ev,0.34,42,0.06501115886038804,0.7253576467266556
problem,eu,0.34,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.34,42,0.05085050621640019,0.694429210009951
problem,pt5,0.34,42,0.05056225108682907,0.6938527456426788
problem,ev,0.36,42,0.06501115886038804,0.7253576467266556
problem,eu,0.36,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.36,42,0.05080932294655715,0.6943468341611011
problem,pt5,0.36,42,0.05052773773585059,0.6937835441738143
problem,ev,0.38,42,0.06501115886038804,0.7253576467266556
problem,eu,0.38,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.38,42,0.05081200431620472,0.6943521971006202
problem,pt5,0.38,42,0.05053491623405039,0.6937979435246789
problem,ev,0.4,42,0.06501115886038804,0.7253576467266556
problem,eu,0.4,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.4,42,0.050816293953391,0.6943607768384937
problem,pt5,0.4,42,0.05053453219577363,0.6937971732833627
problem,ev,0.42,42,0.06501115886038804,0.7253576467266556
problem,eu,0.42,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.42,42,0.05079769436738969,0.6943235770602776
problem,pt5,0.42,42,0.05053136593289489,0.6937908224921008
problem,ev,0.44,42,0.06501115886038804,0.7253576467266556
problem,eu,0.44,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.44,42,0.05081331192430078,0.6943548124399773
problem,pt5,0.44,42,0.05054181310402382,0.6938117744599928
problem,ev,0.46,42,0.06501115886038804,0.7253576467266556
problem,eu,0.46,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.46,42,0.05081442075625033,0.6943570302209398
problem,pt5,0.46,42,0.05053167252399698,0.6937914374767167
problem,ev,0.48,42,0.06501115886038804,0.7253576467266556
problem,eu,0.48,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.48,42,0.050813145072795794,0.6943544787203465
problem,pt5,0.48,42,0.05053319685235603,0.6937944949857617
problem,ev,0.5,42,0.06501115886038804,0.7253576467266556
problem,eu,0.5,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.5,42,0.05081239066867352,0.6943529698402471
problem,pt5,0.5,42,0.050536707693621404,0.6938015364050476
problem,ev,0.52,42,0.06501115886038804,0.7253576467266556
problem,eu,0.52,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.52,42,0.050786040804090105,0.6943002719135183
problem,pt5,0.52,42,0.05050915055695115,0.6937462327577323
problem,ev,0.54,42,0.06501115886038804,0.7253576467266556
problem,eu,0.54,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.54,42,0.050780081764711354,0.6942883558528082
problem,pt5,0.54,42,0.050507107249864944,0.6937421269866392
problem,ev,0.56,42,0.06501115886038804,0.7253576467266556
problem,eu,0.56,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.56,42,0.05078689389422047,0.6943019778674957
problem,pt5,0.56,42,0.050506231909024306,0.6937403676778039
problem,ev,0.58,42,0.06501115886038804,0.7253576467266556
problem,eu,0.58,42,0.050946500504190154,0.6946228716706773
problem,pt3,0.58,42,0.050783685928506475,0.6942955628647947
