split_type,model_name,fraction,seed,test_mse,test_cross_entropy
train_test,ev,0.02,42,0.026572518618456796,0.6498404511022715
train_test,eu,0.02,42,0.02289308674348854,0.6422109185655565
train_test,pt3,0.02,42,0.021609105101265874,0.6398820120568467
train_test,pt5,0.02,42,0.021171025941664486,0.6388027604454884
train_test,ev,0.04,42,0.02636284010066007,0.6490034481319807
train_test,eu,0.04,42,0.02284940253642026,0.6420292965078501
train_test,pt3,0.04,42,0.02133939991668435,0.6388539804385304
train_test,pt5,0.04,42,0.02095690008723337,0.6379430138708824
train_test,ev,0.06,42,0.026521126033991375,0.6496525659740142
train_test,eu,0.06,42,0.02291112263477053,0.642278171062074
train_test,pt3,0.06,42,0.021476941858541564,0.6394657614200581
train_test,pt5,0.06,42,0.020920952310024086,0.6380017655285234
train_test,ev,0.08,42,0.02639241542189728,0.6491465093507812
train_test,eu,0.08,42,0.022844949519373273,0.6419861676859742
train_test,pt3,0.08,42,0.021432743219047132,0.6392201729910342
train_test,pt5,0.08,42,0.02088420997512882,0.6378269398611008
train_test,ev,0.1,42,0.026431051177523042,0.6493081155989261
train_test,eu,0.1,42,0.022908697267744037,0.6423611936557633
train_test,pt3,0.1,42,0.021418796016958393,0.6393089183538873
train_test,pt5,0.1,42,0.020877501295485837,0.6379440190316965
train_test,ev,0.12,42,0.02644916258880305,0.6493798490106066
train_test,eu,0.12,42,0.022947359530272805,0.6425325006679776
train_test,pt3,0.12,42,0.021452871892624056,0.6394683016547563
train_test,pt5,0.12,42,0.020960629223693298,0.6382485449443385
train_test,ev,0.14,42,0.026384760309859003,0.6491121274104376
train_test,eu,0.14,42,0.022898047276865053,0.6423070604236727
train_test,pt3,0.14,42,0.021410645195310888,0.6392690540981153
train_test,pt5,0.14,42,0.020926421275947366,0.6380748654422616
train_test,ev,0.16,42,0.026369167279410865,0.6490371547760299
train_test,eu,0.16,42,0.022875362572900678,0.6421851567367276
train_test,pt3,0.16,42,0.021373497474946303,0.6390789665306157
train_test,pt5,0.16,42,0.020880343351908047,0.6378577514330388
train_test,ev,0.18,42,0.026359213417344988,0.6489825216946973
train_test,eu,0.18,42,0.022845501854381726,0.642003441321665
train_test,pt3,0.18,42,0.02135703138858504,0.6389315049006884
