family,model_id,N,seed,mse,r2,correlation,cross_entropy,rmse,mae,parse_success_rate,sens_mse_parse_ok,sens_cross_entropy_parse_ok,sens_mae_parse_ok
llm,llama3.1,4,42,0.09210283859653019,-0.9231428355522109,0.009296897338127446,2.228965162185753,0.3034844948206254,0.24605021721301937,1.0,0.09210283859653019,2.228965162185753,0.24605021721301937
llm,llama3.1,4,43,0.13717185691936848,-1.8642013416057153,0.0506057527741046,5.076574660898191,0.37036719201269497,0.2991890148893123,1.0,0.13717185691936848,5.076574660898191,0.2991890148893123
llm,llama3.1,8,42,0.1115525948089252,-1.3269039619569152,-0.05673094156548155,1.0539939367638385,0.3339949023696697,0.26654329730363574,0.9974580579562786,0.1115525948089252,1.0539939367638385,0.26654329730363574
llm,llama3.1,8,43,0.1290071386235717,-1.6937188707706068,0.06809095978963707,4.961050497582757,0.3591756375696599,0.2880171626982051,1.0,0.1290071386235717,4.961050497582757,0.2880171626982051
llm,llama3.1,16,42,0.2168539191444023,-3.529028697548293,0.06464458524215437,9.729467222040007,0.46567576611243394,0.40329843755060363,0.9989832231825114,0.2168539191444023,9.729467222040007,0.40329843755060363
llm,llama3.1,16,43,0.0963599565293908,-1.0120331018831568,-0.000993954082743682,1.000512460048276,0.3104190015598124,0.2415857097396895,1.0,0.0963599565293908,1.000512460048276,0.2415857097396895
llm,llama3.1,32,42,0.11154257368196183,-1.329052010820444,-0.005496649622320998,0.9786109987483376,0.33397990011670137,0.26169914906673786,1.0,0.11154257368196183,0.9786109987483376,0.26169914906673786
llm,llama3.1,32,43,0.23753286703892582,-3.8834414999102735,0.08634225281565484,12.03030985646915,0.48737343694432694,0.4274022863632828,0.9156075241484494,0.23753286703892582,12.03030985646915,0.4274022863632828
llm,llama3.1,64,42,0.10295732476962603,-1.149788698323439,-0.021655498331583544,0.9716269144951664,0.3208696382795138,0.2507639075783757,1.0,0.10295732476962603,0.9716269144951664,0.2507639075783757
llm,llama3.1,64,43,0.08193993829124833,-0.7109375527579138,-0.0028004783926824793,0.8266090164794984,0.286251529762285,0.22248314254223733,1.0,0.08193993829124833,0.8266090164794984,0.22248314254223733
llm,llama3.1,128,42,0.0971028838696535,-1.0275457116304083,0.04239442663754305,0.9136205305984562,0.31161335637236975,0.24269707954828484,1.0,0.0971028838696535,0.9136205305984562,0.24269707954828484
llm,llama3.1,128,43,0.07814027783940314,-0.6315991752784986,0.08873709484882465,0.8255939187145287,0.2795358256814377,0.21801399401666666,1.0,0.07814027783940314,0.8255939187145287,0.21801399401666666
