split_type,model_type,fraction,seed,test_mse,test_cross_entropy
train_test,value_based,0.02,42,0.04012408137539929,0.6774104881753003
train_test,context_dependent,0.02,42,0.048233930838651635,0.6958876884096401
train_test,context_dependent_sigmoid,0.02,42,0.04106867143879388,0.6791986679198418
train_test,value_based,0.04,42,0.03782196163048525,0.6727458632448478
train_test,context_dependent,0.04,42,0.04104269414010247,0.686876558245519
train_test,context_dependent_sigmoid,0.04,42,0.033010467950722266,0.6622634219333516
train_test,value_based,0.06,42,0.037554924159637605,0.6732727066166994
train_test,context_dependent,0.06,42,0.03533176874368091,0.6731628437173341
train_test,context_dependent_sigmoid,0.06,42,0.030131154166265328,0.6559047402655889
train_test,value_based,0.08,42,0.03704009499643089,0.6710635904482851
train_test,context_dependent,0.08,42,0.031115303062111417,0.6629216145297473
train_test,context_dependent_sigmoid,0.08,42,0.02616440724955879,0.6470515597417797
train_test,value_based,0.1,42,0.03627731740222489,0.6701676036178704
train_test,context_dependent,0.1,42,0.028183043390473794,0.6532882830939073
train_test,context_dependent_sigmoid,0.1,42,0.026902582309048302,0.6490401860016675
train_test,value_based,0.12,42,0.03633765235644424,0.67101056442094
train_test,context_dependent,0.12,42,0.026901793968453335,0.6505024176631329
train_test,context_dependent_sigmoid,0.12,42,0.023789654664658714,0.6422126240851821
train_test,value_based,0.14,42,0.034536795645703375,0.6663558294236341
train_test,context_dependent,0.14,42,0.025420031376849537,0.6481848855342993
train_test,context_dependent_sigmoid,0.14,42,0.021496934999819584,0.6374411177990157
train_test,value_based,0.16,42,0.03460597938911954,0.666308758099064
train_test,context_dependent,0.16,42,0.023063315636881118,0.6424949812124296
train_test,context_dependent_sigmoid,0.16,42,0.022487709171699195,0.6387730022760278
train_test,value_based,0.18,42,0.03450916109051196,0.6666616067349459
train_test,context_dependent,0.18,42,0.021694566385075612,0.6412942901126899
train_test,context_dependent_sigmoid,0.18,42,0.021561799667328466,0.6365065167992165
train_test,value_based,0.2,42,0.034244737860212135,0.6653795186819252
train_test,context_dependent,0.2,42,0.023098488266798844,0.6421760101301829
train_test,context_dependent_sigmoid,0.2,42,0.021569518526632903,0.6367335045380771
