split_type,model_type,fraction,seed,test_mse,test_cross_entropy
problem,value_based,0.02,42,0.05722705154399643,0.7079443291030982
problem,context_dependent,0.02,42,0.05996314804021531,0.7158178321528281
problem,context_dependent_sigmoid,0.02,42,0.05388598406838995,0.700745601821358
problem,value_based,0.04,42,0.051485969029713786,0.6957424517006838
problem,context_dependent,0.04,42,0.0523693646564612,0.6976385184216886
problem,context_dependent_sigmoid,0.04,42,0.05171305247049883,0.6962186547809344
problem,value_based,0.06,42,0.052916689438846636,0.6988072623791276
problem,context_dependent,0.06,42,0.05767006265072257,0.7095605911128073
problem,context_dependent_sigmoid,0.06,42,0.050908916802671386,0.6945603676565418
problem,value_based,0.08,42,0.050660767593281426,0.6940638883907815
problem,context_dependent,0.08,42,0.05437033240702198,0.7025530329419467
problem,context_dependent_sigmoid,0.08,42,0.05142649569544665,0.6956249750198009
problem,value_based,0.1,42,0.05081082873040085,0.6943597832434192
problem,context_dependent,0.1,42,0.05276614413706448,0.6984662916951394
problem,context_dependent_sigmoid,0.1,42,0.05001808306276599,0.6927636270916031
problem,value_based,0.12,42,0.05049801265423538,0.6937306855640609
problem,context_dependent,0.12,42,0.053500506965515095,0.7001135662903556
problem,context_dependent_sigmoid,0.12,42,0.05005685109420648,0.69284173826895
problem,value_based,0.14,42,0.050253664026562526,0.6932381054750105
problem,context_dependent,0.14,42,0.051450218892080596,0.6957195664998599
problem,context_dependent_sigmoid,0.14,42,0.0498098032457136,0.6923456932597556
problem,value_based,0.16,42,0.05047972799234662,0.6936940765611758
problem,context_dependent,0.16,42,0.05112307146611675,0.6950786566859691
problem,context_dependent_sigmoid,0.16,42,0.04979356972569343,0.6923131411739037
problem,value_based,0.18,42,0.050829909344578914,0.6943966150723773
problem,context_dependent,0.18,42,0.052930403716125764,0.6989068007716003
problem,context_dependent_sigmoid,0.18,42,0.05517539789176681,0.7035472838164283
problem,value_based,0.2,42,0.050504735488993396,0.6937411508395169
problem,context_dependent,0.2,42,0.05227570966559625,0.6974845340128976
problem,context_dependent_sigmoid,0.2,42,0.04991239763470412,0.6925510005319032
problem,value_based,0.22,42,0.050249504200932577,0.6932289244602597
problem,context_dependent,0.22,42,0.05155432087106058,0.6959469880463139
problem,context_dependent_sigmoid,0.22,42,0.05089312064393661,0.6945353643217703
problem,value_based,0.24,42,0.05106763367069207,0.6948889596939468
problem,context_dependent,0.24,42,0.051041809079894036,0.6948576475591431
problem,context_dependent_sigmoid,0.24,42,0.05018069149261018,0.693091373599864
problem,value_based,0.26,42,0.05027885147808471,0.6932883456312532
problem,context_dependent,0.26,42,0.05261407146137284,0.6981666633603875
problem,context_dependent_sigmoid,0.26,42,0.05027708722128363,0.6932906284835723
problem,value_based,0.28,42,0.05061507039928795,0.6939674530718486
problem,context_dependent,0.28,42,0.0568390883924288,0.7082867747402981
problem,context_dependent_sigmoid,0.28,42,0.04986683194449614,0.6924600002846631
problem,value_based,0.3,42,0.05019559422967566,0.6931193328793003
problem,context_dependent,0.3,42,0.05476395267072698,0.7034772335905864
problem,context_dependent_sigmoid,0.3,42,0.05022086315305249,0.6931760393241397
problem,value_based,0.32,42,0.05153287004780361,0.6958525506916395
problem,context_dependent,0.32,42,0.05179115926021447,0.6964708096763884
problem,context_dependent_sigmoid,0.32,42,0.05059259343394188,0.693920639339109
problem,value_based,0.34,42,0.05046472938507471,0.6936637617622055
problem,context_dependent,0.34,42,0.05148166274699373,0.6957648189187489
problem,context_dependent_sigmoid,0.34,42,0.04981626638907322,0.692358615563839
problem,value_based,0.36,42,0.050317685768871065,0.6933640631662784
problem,context_dependent,0.36,42,0.05206583046667457,0.6970370478428316
problem,context_dependent_sigmoid,0.36,42,0.05014559984080947,0.6930191948302424
problem,value_based,0.38,42,0.05051576031532119,0.6937622877035898
problem,context_dependent,0.38,42,0.05156154121356071,0.6959553895073937
problem,context_dependent_sigmoid,0.38,42,0.05123270770820068,0.6952454288120098
problem,value_based,0.4,42,0.051079746645477965,0.6949258972310668
problem,context_dependent,0.4,42,0.051401622376081486,0.695651369421473
problem,context_dependent_sigmoid,0.4,42,0.04976568280175593,0.6922572702904028
problem,value_based,0.42,42,0.05057963603292178,0.6938912666901399
problem,context_dependent,0.42,42,0.05118397539451097,0.6951703286703487
